ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Nothofagus_dombeyi_type,Nothofagus_obliqua_type,Maytenus,Misodendrum,Poaceae,Empetrum_rubrum,Asteraceae_Subf._Asteroideae,Gunnera,Acaena,Plantago,Litorella,Galium_type,Polypodiaceae,Trees_&_Shrubs,Dwarf_Shrubs,Cyperaceae,Aquatics_&_Spores,Algae,Tephra_concentration,Charcoal_concentration,TLP_concentration,Pediastrum_concentration
Unit,cm,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3
LP08_P58,LP08-1E,31,32,366.9,6944.08,7299.74,7113.99,7122.61,0.044880785,49.5,1.8,2.6,0.2,24.6,2.6,4.6,0,6.8,0,5.7,0.4,3.4,54.3,45.7,9.2,3.8,39.9,8762.3,547.6,124588.3,82693.8
LP08_P59,LP08-1E,39,40,374.9,7063.79,7554.07,7295.47,7300.86,0.05192108,39.5,0.3,0.7,0.3,36.2,2.3,5.6,0.7,6.3,0.3,3.3,1.3,9.5,41.4,58.6,35.2,10.1,78,653.8,653.8,66253.4,234938
LP08_P60,LP08-1E,47,48,382.9,7170.78,7766.83,7448.89,7454.94,0.051305073,40.3,0.3,0.3,0.3,36.4,2.9,4.9,0,5.8,0.6,4.9,0.6,8.2,41.2,58.8,31.7,9.7,60.5,2083.7,1562.8,80222.7,122938.7
LP08_P61,LP08-1E,55,56,390.9,7276.86,7934.32,7612.43,7610.87,0.052124055,34.2,1.2,0.6,0,42.9,5.9,5.3,0,3.1,0,3.4,2.5,7.4,36,64,26.5,8.5,76,4227.1,1223.6,35819.1,113241.9
LP08_P62,LP08-1E,63,64,398.9,7436.07,8048.18,7775.6,7764.35,0.05299066,27.9,0,0,0.3,46.2,1.6,5.6,0.7,6.2,1,2,2.3,11.1,29.2,70.8,42.8,13.1,72,0,2076.5,90474.9,232861.5
LP08_P63,LP08-1E,71,72,406.9,7648.84,8153.46,7926.64,7915.32,0.039702233,26.2,0.9,1.2,0.3,47.3,1.8,7.9,0.3,4.9,2.1,4.6,0.3,10.1,29,71,38.2,10.4,76.6,0,1473,120783.2,395123
LP08_P64,LP08-1E,79,80,414.9,7988.13,8296.06,8117.2,8116.82,0.033161996,22.8,1.6,0.3,0.3,50.6,3.1,6.3,0.3,4.1,1.3,4.4,0.9,9.2,25,75,32.2,10.6,85.2,0,2373.1,94924.4,547298.8
LP08_P65,LP08-1E,87,88,422.9,8195.04,8575.96,8348.97,8358.06,0.031435796,27,1,0.7,1,47,2.3,6.3,0,4.7,1,4.3,3,7.4,30,70,34.4,7.7,78.2,0,2303.3,62817.6,225934.1
LP08_P66,LP08-1F,5,6,427.5,8341.01,8710.14,8499.33,8504.39,0.039675131,22.6,0,0,1,48.1,1.3,8.4,1,6.7,0.7,2.7,4.7,13.3,23.6,76.4,36.1,16.1,79.9,0,0,41190.4,163652.2
LP08_P67,LP08-1F,13.5,14,436,8499.2,8999.72,8707.9,8718.63,0.042016807,6.4,1,0,0,63.6,0,9.1,2.7,9.1,0.3,0,2,8.4,8.1,91.9,15.4,11.1,18.9,0,4123.6,10467.5,2431.9
LP08_P68,LP08-1F,21.5,22,444,8599.75,9312.61,8881.79,8909.03,0.032418414,22.1,0.7,0,0.7,59.4,1.3,4,1.3,4.4,0,2,0.3,8.7,23.8,76.2,31,10.8,42.2,0,211.2,8989.7,6576.3
LP08_P69,LP08-1F,29,30,451.5,8705.9,9711.52,9096.49,9140.38,0.018640632,29.7,0.7,1,0.3,42.2,2.9,6.2,0.3,5.6,1.6,7.2,1,10.2,32,68,38.4,11,37.4,0,1708.6,130711,78170.3
LP08_P70,LP08-1F,37,38,459.5,8877.63,10819.04,9497.38,9569.55,0.018640632,34.1,1.9,0.6,0,43.2,2.2,0.9,0,4.7,0,7.6,2.2,10.8,36.9,63.1,28.8,12.2,56.7,0,4576.7,96721.2,126622.4
LP08_P71,LP08-1F,45,46,467.5,8972.52,12217.93,9833.19,9998.72,0.046755985,38.4,1.6,0,2.3,35.4,2.6,3.3,0,3.9,1,7.5,1,12.3,43.3,56.7,17.8,12.6,50.8,0,3356.3,93059.9,96111
