depth,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Br,Rb,Sr,Zr,Ba,Mo inc,Mo coh
109.2,0.460313963,0.113638385,0.028403629,1.181683172,1.067119544,1.010351553,0.403676917,1.223864005,8.198851841,0.31942124,0.272483609,0.13798814,0.773270507,0.94136448,0.832134856,0.294658119,4.201716736,2.146637962
109.3,0.454094477,0.029303135,0.090838404,1.200073361,1.054726925,1.049599595,0.358592896,1.209582562,8.193465333,0.341362612,0.331192975,0.047723699,0.859074152,0.960671528,0.771879104,0.270287453,4.201562949,2.165989231
109.4,0.461746146,0.083594048,0.152186713,1.194084037,1.053391767,1.036210998,0.369715056,1.180600642,8.212311243,0.385812321,0.402089205,0.20579996,0.85187677,0.886304265,0.743914073,0.304204348,4.174387049,2.183606798
109.5,0.489924171,0.094294445,0.149712698,1.238399604,1.041806637,1.038255744,0.388592661,1.182299214,8.251328596,0.383453958,0.391239005,0.226113201,0.863365703,0.901243581,0.793702298,0.279950737,4.094124962,2.132441841
109.6,0.49364017,0.079660037,0.118834666,1.264972277,1.050188355,1.030068437,0.385844542,1.184902195,8.291968583,0.372194549,0.325966347,0.10123051,0.883187582,0.91963332,0.819495635,0.25092224,4.04406813,2.069465952
109.7,0.461239036,0.052779155,0.066320302,1.245755405,1.092586344,1.019446106,0.365572624,1.174005931,8.30452125,0.37397731,0.294915491,0.121821543,0.88754692,0.91555515,0.769727246,0.260603259,4.054832408,2.06044027
109.8,0.440043959,0.016884561,0.020188254,1.223088905,1.144068364,1.03891065,0.350631169,1.181623431,8.279747674,0.375465519,0.316542754,0.271827011,0.883424207,0.952337621,0.72842293,0.27418432,4.080625667,2.093240365
109.9,0.4633945,0.061161245,0.08139947,1.193722439,1.188259836,1.049441588,0.35564786,1.234978577,8.231204595,0.387877525,0.303374765,0.057683838,0.857639163,0.990658583,0.780508491,0.267976475,4.1228837,2.117868021
110,0.478380445,0.055486164,0.14610355,1.187459548,1.215693977,1.050490425,0.388232838,1.264937196,8.121342987,0.397673512,0.386815719,0.113931793,0.816130279,1.030194561,0.741196926,0.272717257,4.219295301,2.175206735
110.1,0.399403578,0.074921708,0.201646973,1.119457173,1.127098382,0.977234074,0.381759114,1.132977338,8.147264887,0.386256603,0.363605388,0.182120808,0.86275756,0.956078602,0.819711683,0.322687982,4.275383118,2.201659512
110.2,0.410188005,0.033296522,0.11233789,1.171434394,1.080531021,1.00528298,0.388101262,1.21919988,8.220198467,0.405476788,0.298477198,0.110900149,0.855715099,0.932719669,0.767932924,0.33521298,4.181044914,2.160685631
110.3,0.364279278,0.07782977,0.229188704,1.045207457,0.978478336,0.912860962,0.382435212,1.395997821,8.301541644,0.384227663,0.27307957,0.117704351,0.793385544,0.879602497,0.711170695,0.321290845,4.069916375,2.081699291
110.4,0.416353823,0.014914148,0.199276987,1.123967227,1.004447298,0.952069007,0.342342469,1.462885045,8.327122532,0.404980586,0.365675461,0,0.752497366,0.890445052,0.768408194,0.279324325,4.005529942,2.051410956
110.5,0.458367309,0.094796525,0.14889618,1.158640326,1.089611492,0.992575507,0.360611428,1.197677639,8.264609921,0.392662672,0.356504384,0.170933637,0.840745603,0.892236398,0.747654418,0.29188713,4.128826085,2.113710488
110.6,0.397517111,0.099754889,0.14573842,1.117998484,1.239350129,0.939520095,0.364460881,1.285106898,8.203051304,0.382716203,0.319484325,0,0.840223329,0.900035049,0.768109393,0.297622864,4.196759544,2.120906411
110.7,0.406412937,0.0176609,0.12148469,1.091435234,1.518237166,0.944780072,0.348638883,1.414737352,8.070213341,0.44154266,0.374073134,0,0.844123659,0.940300794,0.796002365,0.324407397,4.270544219,2.161034579
110.8,0.435504223,0.084773196,0.154475511,1.193968913,1.255394582,0.956065974,0.377214337,1.294841449,8.228940218,0.406827018,0.332391317,0.062550162,0.855116755,0.899284336,0.850598391,0.3049248,4.095015491,2.095598022
110.9,0.445442695,0.125548861,0.083600646,1.195333275,1.347760223,0.947768668,0.388212978,1.909111516,8.072493616,0.411256109,0.344461042,0.291845444,0.845077153,0.931893319,0.84528816,0.315087389,4.099290794,2.119482953
111,0.433696915,0.07036975,0.098231603,1.150857457,1.411984485,0.960983468,0.359873663,2.51872207,7.905317391,0.395651894,0.318404078,0.12338921,0.806547986,0.982124177,0.780715828,0.294195706,4.138107495,2.100133544
111.1,0.444653461,0.078702464,0.136088971,1.143618321,1.40408405,0.954755252,0.381208145,2.690460279,7.905753356,0.3685854,0.300636244,0.217723019,0.793547277,0.972128891,0.737419758,0.322640948,4.055951795,2.088875861
111.2,0.383826617,0.084848545,0.106581827,1.077693398,1.384217086,0.949468057,0.368798773,2.54597589,7.972348136,0.34562403,0.350422685,0.215442076,0.797834434,0.99417829,0.735031506,0.277245153,4.046935026,2.106984927
111.3,0.401405021,0.052535065,0.09213511,1.114040479,1.421729936,0.981941424,0.369260964,3.118737595,7.807220831,0.366972813,0.331186835,0.052637722,0.77794911,0.96771916,0.690891675,0.269482507,3.978013758,2.077566351
111.4,0.39154733,0.028255095,0.077207169,1.115868376,1.298835251,0.968357455,0.400039611,2.807438869,7.930563401,0.37435804,0.307835785,0,0.815385654,0.909529174,0.736862937,0.299830739,3.959480955,2.073593643
