LP08_M1H_BACON_SH20M1H,,,,,,,,,,,,,
Strat_depth,95%CI_min,95%CI_max,median_age,SH20M1Hmean_age,mean 95%,Unit ,95%CI_min_nearest_10_years,95%CI_max_nearest_10_years,median_age_nearest_10_years,SH20M1Hmean_age_nearest_10_years,mean_min_95%CI_err.,max_mean_95%CI_nearest_10_years,mean_95%CI_nearest_10_years
cm,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,-,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP
227,4304.97,4635.11,4504.94,4505.87,165.07,6A,4300,4640,4500,4510,210,130,170
228,4320.42,4654.01,4523.31,4520.23,166.795,6A,4320,4650,4520,4520,200,130,170
229,4330.23,4678.27,4538.43,4534.58,174.02,6A,4330,4680,4540,4530,200,150,180
230,4348.44,4706.18,4551.72,4548.94,178.87,6A,4350,4710,4550,4550,200,160,180
231,4360.03,4713.63,4559.62,4557.78,176.8,6A,4360,4710,4560,4560,200,150,180
232,4378.66,4718.7,4568.2,4566.61,170.02,6A,4380,4720,4570,4570,190,150,170
233,4388.92,4724.36,4578.24,4575.45,167.72,6A,4390,4720,4580,4580,190,140,170
234,4402.78,4731.74,4587.55,4584.29,164.48,6A,4400,4730,4590,4580,180,150,170
235,4415.63,4740.39,4596.3,4593.13,162.38,6A,4420,4740,4600,4590,170,150,160
236,4426.93,4747.92,4604.65,4601.97,160.495,6A,4430,4750,4600,4600,170,150,160
237,4438.1,4757.04,4612.98,4610.81,159.47,6A,4440,4760,4610,4610,170,150,160
238,4454.41,4767.76,4620.73,4619.64,156.675,6A,4450,4770,4620,4620,170,150,160
239,4465.53,4779.14,4628.96,4628.48,156.805,6A,4470,4780,4630,4630,160,150,160
240,4473.33,4794.44,4637.2,4637.32,160.555,6A,4470,4790,4640,4640,170,150,160
241,4490.52,4797.63,4644.87,4645.9,153.555,6A,4490,4800,4640,4650,160,150,160
242,4507.77,4801.56,4653.26,4654.49,146.895,6A,4510,4800,4650,4650,140,150,150
243,4517.12,4805.08,4661.07,4663.07,143.98,6A,4520,4810,4660,4660,140,150,150
244,4526.85,4808.53,4669.9,4671.65,140.84,6A,4530,4810,4670,4670,140,140,140
245,4537.56,4812.48,4679.5,4680.24,137.46,6A,4540,4810,4680,4680,140,130,140
246,4550.08,4816.72,4688.51,4688.82,133.32,6A,4550,4820,4690,4690,140,130,140
247,4561.87,4822.87,4697.78,4697.4,130.5,6A,4560,4820,4700,4700,140,120,130
248,4567.13,4828.59,4706.52,4705.99,130.73,6A,4570,4830,4710,4710,140,120,130
249,4574.98,4835.55,4715.73,4714.57,130.285,6A,4570,4840,4720,4710,140,130,140
250,4580.13,4844.06,4724.78,4723.15,131.965,6A,4580,4840,4720,4720,140,120,130
251,4591.4,4853.67,4735.64,4733.53,131.135,6A,4590,4850,4740,4730,140,120,130
252,4602.75,4865.58,4745.75,4743.91,131.415,6A,4600,4870,4750,4740,140,130,140
253,4609.84,4884.55,4755.97,4754.29,137.355,6A,4610,4880,4760,4750,140,130,140
254,4617.95,4904.29,4764.66,4764.67,143.17,6A,4620,4900,4760,4760,140,140,140
255,4624.97,4921.58,4774.72,4775.05,148.305,6A,4620,4920,4770,4780,160,140,150
256,4629.86,4943.13,4784.55,4785.43,156.635,6A,4630,4940,4780,4790,160,150,160
257,4636.26,4966.55,4794.46,4795.81,165.145,6A,4640,4970,4790,4800,160,170,170
258,4640.77,4990.43,4804.64,4806.19,174.83,6A,4640,4990,4800,4810,170,180,180
259,4645.63,5015.12,4814.77,4816.57,184.745,6A,4650,5020,4810,4820,170,200,190
260,4648.81,5042.53,4823.98,4826.95,196.86,6A,4650,5040,4820,4830,180,210,200
261,4660.02,5048.14,4834.64,4837.71,194.06,6A,4660,5050,4830,4840,180,210,200
262,4674.65,5057.44,4846.26,4848.47,191.395,6A,4670,5060,4850,4850,180,210,200
263,4683.23,5064.67,4856.77,4859.24,190.72,6A,4680,5060,4860,4860,180,200,190
264,4690.99,5076.89,4867.47,4870,192.95,6A,4690,5080,4870,4870,180,210,200
265,4695.02,5088.54,4875.87,4880.77,196.76,6A,4700,5090,4880,4880,180,210,200
266,4702.4,5099.98,4886.36,4891.53,198.79,6A,4700,5100,4890,4890,190,210,200
267,4707.59,5118.85,4896.26,4902.29,205.63,6A,4710,5120,4900,4900,190,220,210
